date,immediate,staggered,spy
2025-03-31,100000.0,100000.0,100000.0
2025-04-01,100897.09017953573,100134.56352693036,100282.44266313557
2025-04-02,101169.33257381877,100175.39988607282,100917.07122910241
2025-04-03,95461.4006398322,99319.21009597482,95943.7955903331
2025-04-04,88830.0847215753,98324.51270823629,90326.96071574546
2025-04-07,89465.93666646947,98568.07354790423,90166.07227066836
2025-04-08,88539.46959972431,98209.48324605779,88753.8207664206
2025-04-09,98401.02659684466,101927.3873883319,98074.68505886386
2025-04-10,93925.41990616632,100227.49784026406,93777.15070933632
2025-04-11,96344.84030604619,101137.27735571915,95450.39926695403
2025-04-14,96505.4035305792,101198.02039280129,96376.40662141795
2025-04-15,96644.45949656253,101255.31400510811,96106.4679871765
2025-04-16,94289.45938675306,100365.39398021507,93970.21029681683
2025-04-17,93748.7029577878,100170.32738045749,94104.28491029942
2025-04-21,91244.78326859607,99226.22255233582,91864.35070811429
2025-04-22,93051.2162746981,100208.71370706998,94254.45327824868
2025-04-23,94660.04672576103,101078.03721049806,95714.96967936658
2025-04-24,97048.55139902073,102372.57669831268,97729.66769615778
2025-04-25,98772.58395793039,103299.27739096648,98435.79617603665
2025-04-28,98267.8646021226,103025.45748708962,98473.33008475899
2025-04-29,98394.50437149563,103091.0394691077,99093.65430353541
2025-04-30,97777.0070574442,102744.25204273868,99132.97761953405
2025-05-01,99456.0175873485,103653.47200802615,99835.52728486032
2025-05-02,101044.35124208132,104515.04708795651,101317.50566227382
2025-05-05,100105.87565151881,104011.09764122129,100736.515670516
2025-05-06,99904.92852833975,103900.87983465893,99894.52316987826
2025-05-07,101024.39553775883,104509.58659137724,100314.63017206897
2025-05-08,101969.72651650108,105018.31428953217,101013.60102284265
2025-05-09,102147.27905630037,105111.80445907931,100884.89463118897
2025-05-12,105504.00644809674,106929.72987817033,104218.87680651029
2025-05-13,107604.43325726724,108446.62766616151,104907.13303566616
2025-05-14,108688.2586163226,109218.42515759637,105041.20764914872
2025-05-15,109137.72538494843,109551.34617924702,105554.26563052712
2025-05-16,109361.42006814858,109712.50228210364,106222.84929066368
2025-05-19,109249.28355536742,109621.48691601295,106339.04074240326
2025-05-20,108621.49344606935,109160.87472427389,105981.50843978307
2025-05-21,106911.64384023775,107914.77225460563,104195.63633395839
2025-05-22,107029.70266713414,107995.91981116026,104236.7599682533
2025-05-23,106392.27966374725,107539.9768254007,103525.26326654552
